breed,origin,url,img,height,weight,coat,life_span,other_names,common_nicknames,colour,litter_size,notes,breed_status,foundation_stock,img_src_set.1.5x,img_src_set.2x,height.dogs,weight.dogs,height.bitches,weight.bitches,img_src_set
Basset Artésien Normand,France,https://en.wikipedia.org/wiki/Basset_Art%C3%A9sien_Normand,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg/220px-Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg,30–36 cm (12–14 in),15–20 kg (33–44 lb),short,Not available,Not available,BAN,"fawn, black and white; fawn and white",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg/330px-Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e0/Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg/440px-Grupp_6_BASSET_ART%C3%89SIEN_NORMAND%2C_Skogvaktarens_Queen_Sally_%2824180074612%29.jpg,,,,,
Basset Bleu de Gascogne,France,https://en.wikipedia.org/wiki/Basset_Bleu_de_Gascogne,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Basset_bleu_de_Gascogne.jpg/220px-Basset_bleu_de_Gascogne.jpg,34–38 cm (13–15 in),Not available,"short, dense",Not available,Blue Gascony BassetBleus de Gascogne,Not available,mottled black and white,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Basset_bleu_de_Gascogne.jpg/330px-Basset_bleu_de_Gascogne.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/47/Basset_bleu_de_Gascogne.jpg/440px-Basset_bleu_de_Gascogne.jpg,,,,,
Basset Fauve de Bretagne,France,https://en.wikipedia.org/wiki/Basset_Fauve_de_Bretagne,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Basset_Fauve_de_Bretagne_600.jpg/220px-Basset_Fauve_de_Bretagne_600.jpg,32–38 cm (13–15 in),Not available,"very rough, fairly short",Not available,Fawn Brittany Basset,Not available,fawn,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Basset_Fauve_de_Bretagne_600.jpg/330px-Basset_Fauve_de_Bretagne_600.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/ad/Basset_Fauve_de_Bretagne_600.jpg/440px-Basset_Fauve_de_Bretagne_600.jpg,,,,,
Basset Hound,United Kingdom,https://en.wikipedia.org/wiki/Basset_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/BassetHound_profil.jpg/220px-BassetHound_profil.jpg,,,"Smooth, short and close",Not available,Not available,Not available,"Generally black, white and tan (tri-color) or tan/lemon and white (bi-color); but any recognized hound color acceptable.",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/BassetHound_profil.jpg/330px-BassetHound_profil.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cf/BassetHound_profil.jpg/440px-BassetHound_profil.jpg,30–38 cm (12–15 in),25–34 kg (55–75 lb),28–36 cm (11–14 in),20–29 kg (45–65 lb),
Bavarian Mountain Hound,,https://en.wikipedia.org/wiki/Bavarian_Mountain_Hound,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg/220px-Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg,,Not available,"short, dense.",Not available,Not available,Not available,"Deer red, tan or fawn",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg/330px-Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg/440px-Zoran_Spod_Ruskiej_Granicy_the_Bavarian_Mountain_Hound.jpg,47–52 cm (19–20 in),,44–48 cm (17–19 in),,
Beagle,England,https://en.wikipedia.org/wiki/Beagle,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Beagle_600.jpg/220px-Beagle_600.jpg,13–16 in (33–41 cm),,"Short haired, hard coat of medium length",Not available,English Beagle,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Beagle_600.jpg/330px-Beagle_600.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/5/55/Beagle_600.jpg/440px-Beagle_600.jpg,,22–25 lb (10.0–11.3 kg),,20–23 lb (9.1–10.4 kg),
Beagle-Harrier,France,https://en.wikipedia.org/wiki/Beagle-Harrier,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Beagle_harrier.JPG/220px-Beagle_harrier.JPG,45–50 cm (18–20 in),Not available,"Thick, not too short, and flat.",Not available,Not available,Not available,"fawn, black and white",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Beagle_harrier.JPG/330px-Beagle_harrier.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/c/cd/Beagle_harrier.JPG/440px-Beagle_harrier.JPG,,,,,
Belgian Shepherd,Belgium,https://en.wikipedia.org/wiki/Belgian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tervuren.jpg/220px-Tervuren.jpg,,,Long-haired,Not available,Chien de Berger BelgeBelgian Sheepdog,Not available,Fawn or grey with black overlay and a black mask,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tervuren.jpg/330px-Tervuren.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/Tervuren.jpg/440px-Tervuren.jpg,60–66 cm (24–26 in),≈ 25–30 kg (55–66 lb),56–62 cm (22–24 in),≈ 20–25 kg (44–55 lb),
Bearded Collie,Scotland,https://en.wikipedia.org/wiki/Bearded_Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bearded_Collie_600.jpg/220px-Bearded_Collie_600.jpg,,18–27 kg (40–60 lb),long double coat with furnishings,Not available,Highland Collie  Mountain Collie  Hairy Mou'ed Collie,Beardie,"black, blue, brown, or fawn with white or tan markings",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bearded_Collie_600.jpg/330px-Bearded_Collie_600.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9c/Bearded_Collie_600.jpg/440px-Bearded_Collie_600.jpg,53–56 cm (21–22 in),,51–56 cm (20–22 in),,
Beauceron,France,https://en.wikipedia.org/wiki/Beauceron,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Owczarek_francuski_beauceron_009pl.jpg/220px-Owczarek_francuski_beauceron_009pl.jpg,,Not available,"Short, smooth and thick double coat",Not available,Berger de BeauceBeauce Sheep DogBeauce DogBas Rouge,Not available,Black and tan or occasionally blue-mottled with tan markings,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Owczarek_francuski_beauceron_009pl.jpg/330px-Owczarek_francuski_beauceron_009pl.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/b/bc/Owczarek_francuski_beauceron_009pl.jpg/440px-Owczarek_francuski_beauceron_009pl.jpg,65–70 cm (26–28 in),,61–68 cm (24–27 in),,
Bedlington Terrier,England,https://en.wikipedia.org/wiki/Bedlington_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Boutchie_apres_championnat_004.JPG/220px-Boutchie_apres_championnat_004.JPG,,17–23 pounds (7.7–10.4 kg),"Curly, 'crisp' in texture with a distinct topknot, nonshedding, minimal odor",Not available,Rothbury TerrierRodbery TerrierRothbury's Lamb,Not available,"Blue, liver, or sandy, or any of these with tan points",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Boutchie_apres_championnat_004.JPG/330px-Boutchie_apres_championnat_004.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/f/fe/Boutchie_apres_championnat_004.JPG/440px-Boutchie_apres_championnat_004.JPG,"16.5 inches (42 cm) preferred, 16 to 17.5 inches (41 to 44 cm) acceptable",,"15.5 inches (39 cm) preferred, 15 to 16.5 inches (38 to 42 cm) acceptable",,
Bergamasco Shepherd,Italy,https://en.wikipedia.org/wiki/Bergamasco_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ortensia_di_Valle_Scrivia.jpg/220px-Ortensia_di_Valle_Scrivia.jpg,,,felted on the main parts of the body,Not available,Bergamasco Shepherd DogBergamasco SheepdogBergamascoCane da pastore Bergamasco,Not available,merle or black,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ortensia_di_Valle_Scrivia.jpg/330px-Ortensia_di_Valle_Scrivia.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/Ortensia_di_Valle_Scrivia.jpg/440px-Ortensia_di_Valle_Scrivia.jpg,58–62 cm (23–24 in),32–38 kg (71–84 lb),54–58 cm (21–23 in),26–32 kg (57–71 lb),
Berger Picard,France,https://en.wikipedia.org/wiki/Berger_Picard,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Picard_Delice_Stacked.jpg/220px-Picard_Delice_Stacked.jpg,,51–71 lb (23–32 kg),rough,Not available,PicardBerger de PicardiePicardy ShepherdPicardy Sheepdog,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Picard_Delice_Stacked.jpg/330px-Picard_Delice_Stacked.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/91/Picard_Delice_Stacked.jpg/440px-Picard_Delice_Stacked.jpg,24–26 in (61–66 cm),,22–24 in (56–61 cm),,
Black and Tan Coonhound,United States,https://en.wikipedia.org/wiki/Black_and_Tan_Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Black_and_Tan_Coonhound.jpg/220px-Black_and_Tan_Coonhound.jpg,21-27 in,40-75 lbs,Short and dense.,Not available,American Black and Tan Coonhound,Not available,Coal black with rich tan markings,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Black_and_Tan_Coonhound.jpg/330px-Black_and_Tan_Coonhound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/4/48/Black_and_Tan_Coonhound.jpg/440px-Black_and_Tan_Coonhound.jpg,,,,,
Black Norwegian Elkhound,Norway,https://en.wikipedia.org/wiki/Black_Norwegian_Elkhound,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/BlackNorwegianElkhound.jpg/220px-BlackNorwegianElkhound.jpg,,16–20 kg (35–44 lb),"Dense, short double coat",Not available,Norsk Elghund SvartNorsk Elghund BlackBlack ElkhoundNorwegian Moose Dog (black),Not available,Black,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/BlackNorwegianElkhound.jpg/330px-BlackNorwegianElkhound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/a/a8/BlackNorwegianElkhound.jpg/440px-BlackNorwegianElkhound.jpg,46–49 cm (18–19 in),,43–46 cm (17–18 in),,
Black Russian Terrier,Russia,https://en.wikipedia.org/wiki/Black_Russian_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/1/1a/Russianblack.jpg/220px-Russianblack.jpg,,,"Rough and thick, slightly waved",Not available,"Tchornyi Terrier, BRT",Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/1/1a/Russianblack.jpg,,72–76 centimetres (28–30 in),50–60 kilograms (110–130 lb),,,
Black Mouth Cur,United States,https://en.wikipedia.org/wiki/Black_Mouth_Cur,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Black_mouth_cur-10.jpg/220px-Black_mouth_cur-10.jpg,16–25 in (41–64 cm),,Short,Not available,Southern CurSouthern Black Mouth CurYellow Black Mouth Cur,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Black_mouth_cur-10.jpg/330px-Black_mouth_cur-10.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Black_mouth_cur-10.jpg/440px-Black_mouth_cur-10.jpg,,minimum 40 lb (18 kg),,minimum 35 lb (16 kg),
Blue Lacy,United States,https://en.wikipedia.org/wiki/Blue_Lacy,https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/BlueLacyPhoto1.jpg/220px-BlueLacyPhoto1.jpg,46 to 53 cm (18 to 21 in),,smooth,Not available,Lacy DogLacy Game DogTexas Blue LacyLacy Hog DogLacy Cur,Not available,Not available,Not available,State dog of Texas,Not recognized as a breed by any major kennel club.,Not available,https://upload.wikimedia.org/wikipedia/commons/2/2b/BlueLacyPhoto1.jpg,,,16 to 23 kg (35 to 50 lb),,11 to 20 kg (25 to 45 lb),
Blue Picardy Spaniel,France,https://en.wikipedia.org/wiki/Blue_Picardy_Spaniel,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Epagneul_bleu_de_picardie_868.jpg/220px-Epagneul_bleu_de_picardie_868.jpg,Not available,Not available,Not available,Not available,Épagneul Bleu de Picardie,Bleu Picard,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Epagneul_bleu_de_picardie_868.jpg/330px-Epagneul_bleu_de_picardie_868.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/0/06/Epagneul_bleu_de_picardie_868.jpg/440px-Epagneul_bleu_de_picardie_868.jpg,,,,,
Bluetick Coonhound,United States,https://en.wikipedia.org/wiki/Bluetick_Coonhound,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/BluetickCoonhound.jpg/220px-BluetickCoonhound.jpg,,,Short and smooth,Not available,Not available,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/BluetickCoonhound.jpg/330px-BluetickCoonhound.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/d6/BluetickCoonhound.jpg/440px-BluetickCoonhound.jpg,22–27 in (56–69 cm),55–80 lb (25–36 kg),21–25 in (53–64 cm),45–65 lb (20–29 kg),
Boerboel,South Africa,https://en.wikipedia.org/wiki/Boerboel,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Boerboel_fawn_border.jpg/220px-Boerboel_fawn_border.jpg,,Not available,"short, smooth",Not available,South African mastiff,Not available,"All shades of red, brown, yellow (fawn), brindle. Also black (SABBS only).",Not available,SABBS Breed Standard,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Boerboel_fawn_border.jpg/330px-Boerboel_fawn_border.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c2/Boerboel_fawn_border.jpg/440px-Boerboel_fawn_border.jpg,66 cm (26 in) idealminimum 60 cm (24 in),,61 cm (24 in) idealminimum 55 cm (22 in),,
Bohemian Shepherd,Czech Republic,https://en.wikipedia.org/wiki/Bohemian_Shepherd,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/OREADY_KROSANDRA_%2814%29.JPG/220px-OREADY_KROSANDRA_%2814%29.JPG,Not available,Not available,Not available,Not available,Chodský pes  Czech Sheepdog  Bohemian Herder  Chodenhund,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/OREADY_KROSANDRA_%2814%29.JPG/330px-OREADY_KROSANDRA_%2814%29.JPG,https://upload.wikimedia.org/wikipedia/commons/thumb/2/25/OREADY_KROSANDRA_%2814%29.JPG/440px-OREADY_KROSANDRA_%2814%29.JPG,,,,,
Bolognese,Italy,https://en.wikipedia.org/wiki/Bolognese_(dog),https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/DocFile_Bolognese.jpg/220px-DocFile_Bolognese.jpg,,2.5–4 kg (6–9 lb),Long and fluffy,Not available,Bichon BologneseBolognese Toy DogBologneserBoloBotoliBottolo,Not available,White,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/DocFile_Bolognese.jpg/330px-DocFile_Bolognese.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/2/22/DocFile_Bolognese.jpg/440px-DocFile_Bolognese.jpg,27–30 cm (11–12 in),,25–28 cm (10–11 in),,
Border Collie,Anglo-Scottish border,https://en.wikipedia.org/wiki/Border_Collie,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg/220px-BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg,,,Smooth or rough double coat,Not available,Not available,Not available,"Solid coloured, bicoloured or tricoloured on blue merle, red merle, chocolate merle, liver, lilac merle, bear, chocolate, lilac, blue, sable merle, sable, shaded sable, chocolate sable, black, white, red, red and white, brindle or orange",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg/330px-BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/e/e4/BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg/440px-BORDER_COLLIE%2C_Simaro_Million_Dollar_Baby_%2824290879465%29_2.jpg,48–56 cm (19–22 in),14–20 kg (31–44 lb),46–53 cm (18–21 in),12–19 kg (26–42 lb),
Border Terrier,United Kingdom,https://en.wikipedia.org/wiki/Border_Terrier,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Border_Terrier.jpg/220px-Border_Terrier.jpg,Not available,,Harsh and dense; with close undercoat.,Not available,Not available,Not available,"Red, wheaten, grizzle and tan, or blue and tan.",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Border_Terrier.jpg/330px-Border_Terrier.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/7/70/Border_Terrier.jpg/440px-Border_Terrier.jpg,,6–7 kg (13–15.5 lb),,5–6.5 kg (11.5–14 lb),
Borzoi,Russia,https://en.wikipedia.org/wiki/Borzoi,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg/220px-Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg,,,"Medium length, silky and wavy, short length",Not available,Barzoï Russian hunting sighthound Fella Russkaya psovaya borzaya,Not available,Not available,Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg/330px-Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/d/de/Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg/440px-Chart_rosyjski_borzoj_rybnik-kamien_pl.jpg,75–85 cm (30–33 in),35–50 kg (75–105 lb),68–78 cm (27–31 in),25–40 kg (55–90 lb),
Bosnian Coarse-haired Hound,Bosnia and Herzegovina,https://en.wikipedia.org/wiki/Barak_hound,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg/220px-BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg,,16–27 kg (35–60 lb),Long and shaggy with a dense undercoat,Not available,Bosnian Broken-haired HoundBosanski oštrodlaki goničBosnian Rough-haired HoundBosnian Rough-coated HoundBosnian Coarse-haired HoundBosnian Hound,Not available,"wheaten yellow, reddish yellow, earthy grey, or blackish.",Not available,Not available,Not available,Not available,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg/330px-BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg,https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg/440px-BIR_Grupp_6-_BOSANSKI_OSTRODLAKI_GONIC-BARAK%2C_Sandy_%2823866392689%29.jpg,46–56 cm (18–22 in),,,,
